year,count,rolling5
1918,1,1.0
1923,1,1.5
1930,1,1.4
1932,3,1.4
1933,1,1.4
1935,1,1.4
1941,1,1.0
1954,1,1.0
1959,1,1.0
1964,1,1.4
1965,1,1.4
1967,3,1.4
1968,1,1.6
1969,1,1.8
1970,2,1.4
1971,2,1.4
1972,1,1.4
1974,1,1.4
1976,1,2.6
1984,2,7.2
2007,8,12.4
2008,24,15.2
2009,27,31.8
2010,15,45.6
2011,85,48.8
2012,77,51.6
2013,40,62.4
2014,41,52.6
2015,69,44.0
2016,36,43.4
2017,34,45.4
2018,37,45.8
2019,51,55.0
2020,71,64.0
2021,82,81.4
2022,79,94.0
2023,124,93.8
2024,114,96.75
2025,70,102.66666666666667
